DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
31/07/23,00:00,251.33,267.77,251.33,267.4,167914420
01/08/23,00:00,269.0,273.35,264.1,268.5,162988910
02/08/23,00:00,268.5,269.97,266.52,268.57,48418320
03/08/23,00:00,269.0,271.35,266.8,269.11,75757120
04/08/23,00:00,269.48,272.96,261.21,264.12,132212230
07/08/23,00:00,266.54,268.09,260.5,261.92,61531090
08/08/23,00:00,261.92,265.44,258.8,264.62,65114820
09/08/23,00:00,265.47,265.8,263.05,263.91,34994150
10/08/23,00:00,264.73,267.5,263.96,266.91,37292060
11/08/23,00:00,267.26,267.4,264.8,266.23,24846460
14/08/23,00:00,267.37,268.77,259.15,260.45,86724810
15/08/23,00:00,259.0,264.17,256.63,260.42,59232630
16/08/23,00:00,261.29,261.68,254.33,256.02,71823620
17/08/23,00:00,257.15,258.8,255.5,258.5,35937920
18/08/23,00:00,258.4,261.37,257.35,261.14,31064600
21/08/23,00:00,262.44,263.06,259.51,261.15,35766040
22/08/23,00:00,261.92,262.11,259.81,261.45,25953320
23/08/23,00:00,261.5,261.83,256.0,256.4,53116160
24/08/23,00:00,257.63,259.94,256.4,259.63,26979270
25/08/23,00:00,258.8,261.6,257.61,260.5,28575150
28/08/23,00:00,261.32,267.83,260.81,266.93,57897070
29/08/23,00:00,266.7,267.56,265.14,265.68,35407330
30/08/23,00:00,265.68,267.36,263.1,264.7,38604380
31/08/23,00:00,265.04,266.25,264.3,264.85,22582290
01/09/23,00:00,265.4,265.62,264.06,265.0,19265170
04/09/23,00:00,266.5,269.11,266.0,267.39,48140770
05/09/23,00:00,266.74,267.98,261.09,264.75,39811860
06/09/23,00:00,264.33,264.68,262.31,263.5,28341890
07/09/23,00:00,263.69,264.97,256.1,258.79,67688600
08/09/23,00:00,258.08,259.33,253.1,255.68,49562810
11/09/23,00:00,257.0,258.37,255.16,256.25,43282460
12/09/23,00:00,257.7,262.4,257.09,262.4,45160820
13/09/23,00:00,262.4,262.77,257.59,258.18,30051360
14/09/23,00:00,258.9,261.38,255.02,260.0,46227900
15/09/23,00:00,259.65,262.74,258.56,260.83,35581630
18/09/23,00:00,262.02,263.0,258.76,259.07,29037560
19/09/23,00:00,258.99,259.32,251.5,252.72,89551540
20/09/23,00:00,252.8,255.47,249.82,253.77,66831270
21/09/23,00:00,252.87,254.2,249.81,250.16,58913730
